Time (s),Jitter
0.267040401,3.97446081e-05
0.267495326,-8.17707271e-06
0.267755987,-8.83425089e-06
0.26784269,-6.53320983e-06
0.26788241,-7.24762184e-06
0.267915193,-6.02697856e-06
0.267950369,-6.19820704e-06
0.267993865,-9.68675569e-06
0.268070879,3.62693662e-05
0.268246142,-5.99003312e-06
0.268285878,-7.72010825e-06
0.268336637,-1.14711813e-05
0.268505196,-6.02669317e-06
0.268803521,-6.34983113e-06
0.26889976,-9.58249945e-06
0.269189149,-7.9684074e-06
0.269200748,3.74030189e-05
0.269666072,-5.9204617e-06
0.269747719,3.8402246e-05
0.269985253,-8.12755924e-06
0.270866012,4.00739199e-05
0.27113481,-6.72096523e-06
0.271208353,-7.25944474e-06
0.271292296,-9.19645656e-06
0.271499406,3.06681431e-05
0.271833275,2.9773667e-05
0.27196861,-7.55660392e-06
0.272275919,-9.86113336e-06
0.272455957,-6.89591314e-06
0.272505165,-7.09854359e-06
0.272615652,-7.58081357e-06
0.272896369,-7.29530352e-06
0.272967816,-8.73670978e-06
0.273044151,3.98972018e-05
0.273371132,2.68926041e-05
0.273372108,-8.07698182e-06
0.273821088,-6.05642469e-06
0.274283811,-8.77782482e-06
0.274354339,-7.30033997e-06
0.27440069,-1.16434506e-05
0.274706287,-8.23741903e-06
0.27499598,-8.92672733e-06
0.275214634,-7.57705164e-06
0.275258193,3.98331331e-05
0.275664558,-9.52774065e-06
0.275769829,-8.79316877e-06
0.275957819,-9.77786641e-06
0.276648716,-9.67464652e-06
0.276839106,-9.05989045e-06
0.276953521,-7.47032389e-06
0.277099431,3.55911749e-05
0.277462588,-7.56319776e-06
0.277587219,-9.18836626e-06
0.277948055,3.39464135e-05
0.278121638,-7.63192061e-06
0.278188861,-8.8492299e-06
0.278437867,-6.85227638e-06
0.278521986,-5.96785574e-06
0.278570009,3.69807714e-05
0.278710544,-9.54816638e-06
0.278875982,-5.9837438e-06
0.279037629,-7.62611152e-06
0.279114828,-9.81886513e-06
0.279184843,-6.82982838e-06
0.279650855,-1.28362141e-05
0.279878717,-9.69323125e-06
0.280204833,-7.80748623e-06
0.280935594,3.63977507e-05
0.281218848,-6.85321385e-06
0.281321975,-5.97682558e-06
0.281454181,3.77874507e-05
0.281573492,-9.51757162e-06
0.282376188,-9.21482084e-06
0.282428764,-8.7843901e-06
0.282663097,-8.11445414e-06
0.28303735,-8.36433986e-06
0.283188436,3.55217129e-05
0.283249483,3.74463798e-05
0.283483441,-6.50887264e-06
0.283736335,-8.3987511e-06
0.283915053,-9.11211446e-06
0.284245722,-6.77918056e-06
0.284336209,-8.26117243e-06
0.284410144,-9.19049329e-06
0.284989427,-8.47234054e-06
0.28507989,-7.9305854e-06
0.285742443,-8.4844328e-06
0.285868442,-6.47973734e-06
0.285961089,-8.1218562e-06
0.286082872,3.70673223e-05
0.286398717,3.11966241e-05
0.2864971,-9.18060153e-06
0.286825441,-7.51917253e-06
0.287176245,-8.3211688e-06
0.287332988,-8.05935816e-06
0.287419307,-8.3733255e-06
0.287487138,-6.20086124e-06
0.287555442,-8.49874703e-06
0.287660785,-7.83711288e-06
0.28770592,-7.96738918e-06
0.287901182,-9.22476695e-06
0.287996557,-1.35908844e-05
0.288100692,-7.72148228e-06
0.288296114,-6.14108322e-06
0.288477632,3.43143539e-05
0.288663351,-7.40035258e-06
0.289705037,-6.09199804e-06
0.28994821,3.97036422e-05
0.290229584,-6.66759861e-06
0.290582012,-9.0931128e-06
0.291026728,-6.80826016e-06
0.291363788,-6.86736887e-06
0.291786176,-9.25268133e-06
0.291928839,4.00547282e-05
0.292048382,-9.48253222e-06
0.292203116,-7.21340906e-06
0.292423594,-9.6865343e-06
0.292790751,-6.84168204e-06
0.293040236,-6.32519926e-06
0.293230698,-6.78439445e-06
0.293291586,-6.66767564e-06
0.29346884,-5.9194893e-06
0.293474128,2.97714708e-05
0.293569935,-8.0308577e-06
0.293632982,-9.07245512e-06
0.294015379,-9.46577968e-06
0.294171073,3.98101652e-05
0.294269224,-8.33596436e-06
0.294386087,-8.19419786e-06
0.294726036,-6.14187868e-06
0.295209439,-7.5445768e-06
0.295326526,-7.6272206e-06
0.295450092,3.97768658e-05
0.295772321,-9.44850831e-06
0.295917368,-7.49125866e-06
0.296000663,-8.78110942e-06
0.296058751,-8.86279832e-06
0.296164245,3.56161863e-05
0.296488602,-9.73700941e-06
0.29653329,-8.41913012e-06
0.296620385,-9.50849475e-06
